Número do Alimento;Categoria;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)
253;Frutas e derivados;Tucumã, cru;51,3;262;1096;2,1;19,1;NA;26,5;12,7;1,1;46;121;0,55;52;0,6;3;401;0,39;0,9;NA;2362;1181;0,04;Tr;0,11;Tr;18
254;Frutas e derivados;Umbu, cru;89,2;37;154;0,8;Tr;NA;9,4;2;0,5;11;11;0,03;13;0,1;Tr;151;0,04;0,4;NA;;;0,05;0,06;0,03;Tr;24,1
255;Frutas e derivados;Umbu, polpa, congelada;90,2;33;142;0,5;0,1;NA;8,8;1,3;0,4;10;8;0,05;12;0,2;5;153;0,04;0,1;NA;;;Tr;0,06;Tr;Tr;4
256;Frutas e derivados;Uva, Itália, crua;85;52;221;0,7;0,2;NA;13,6;0,9;0,6;6;4;0,13;12;0,1;Tr;161;0,11;Tr;NA;5;2;Tr;Tr;0,03;Tr;3,3
257;Frutas e derivados;Uva, Rubi, crua;86,1;49;205;0,6;0,2;NA;12,7;0,9;0,5;7;5;0,07;22;0,2;7;158;0,05;Tr;NA;;;0,02;0,02;Tr;Tr;1,9
258;Frutas e derivados;Uva, suco concentrado, envasado;85,1;57;241;Tr;Tr;NA;14,7;0,2;0,2;9;7;0,2;10;0,1;9;53;0,13;0,1;NA;;;0,07;0,02;0,05;Tr;21
259;Gorduras e óleos;Azeite, de dendê;NA;884;3698;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
260;Gorduras e óleos;Azeite, de oliva, extra virgem;NA;884;3698;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
261;Gorduras e óleos;Manteiga, com sal;15,8;725;3037;0,4;82,4;200;0,1;NA;1,4;9;1;Tr;27;0,2;578;14;Tr;Tr;923;;;Tr;Tr;Tr;Tr;Tr
262;Gorduras e óleos;Manteiga, sem sal;13,6;757;3169;0,4;86;213;0;NA;0,1;3;1;Tr;7;Tr;3;5;0,04;Tr;1013;;;Tr;Tr;Tr;Tr;Tr
263;Gorduras e óleos;Margarina, com óleo hidrogenado, com sal (65% de lipídeos);32,2;596;2494;Tr;67,4;NA;0;NA;1,9;5;1;Tr;7;0,1;894;21;Tr;Tr;462;;;Tr;Tr;Tr;Tr;Tr
264;Gorduras e óleos;Margarina, com óleo hidrogenado, sem sal (80% de lipídeos);19,6;722;3023;Tr;81,7;NA;0;NA;0,2;2;0;Tr;3;0,1;77;1;Tr;Tr;534;;;Tr;Tr;Tr;Tr;Tr
265;Gorduras e óleos;Margarina, com óleo interesterificado, com sal (65%de lipídeos);32;594;2487;Tr;67,2;NA;0;NA;1,2;4;1;Tr;5;Tr;560;14;Tr;Tr;385;;;Tr;Tr;Tr;Tr;Tr
266;Gorduras e óleos;Margarina, com óleo interesterificado, sem sal (65% de lipídeos);33,4;593;2481;Tr;67,1;NA;0;NA;0,1;4;1;Tr;7;0,1;33;4;Tr;Tr;245;;;Tr;Tr;Tr;Tr;Tr
267;Gorduras e óleos;Óleo, de babaçu;NA;884;3698;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
268;Gorduras e óleos;Óleo, de canola;NA;884;3698;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
269;Gorduras e óleos;Óleo, de girassol;NA;884;3698;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
270;Gorduras e óleos;Óleo, de milho;NA;884;3698;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
271;Gorduras e óleos;Óleo, de pequi;NA;884;3698;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
272;Gorduras e óleos;Óleo, de soja;NA;884;3698;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
273;Pescados e frutos do mar;Abadejo, filé, congelado, assado;74,3;111;466;23,5;1,2;102;0;NA;1,6;22;20;Tr;337;0,5;334;155;0,03;0,5;Tr;Tr;Tr;Tr;Tr;Tr;0,44;
274;Pescados e frutos do mar;Abadejo, filé, congelado,cozido;79,7;91;381;19,3;0,9;86;0;NA;0,9;16;15;Tr;350;0,3;189;145;0,03;0,4;Tr;Tr;Tr;Tr;Tr;Tr;Tr;
275;Pescados e frutos do mar;Abadejo, filé, congelado, cru;86,4;59;247;13,1;0,4;31;0;NA;0,6;10;14;0,01;90;0,1;78;148;0,14;0,4;Tr;Tr;Tr;0,04;Tr;Tr;4,6;
276;Pescados e frutos do mar;Abadejo, filé, congelado, grelhado;71;129;542;27,6;1,3;135;0;NA;1,6;20;22;Tr;581;0,3;305;278;Tr;0,4;5;5;5;0,03;Tr;Tr;0,44;
277;Pescados e frutos do mar;Atum, conserva em óleo;64,5;165;694;26,2;6;52;0;NA;1,5;6;29;Tr;211;1,2;362;279;0,04;0,6;Tr;Tr;Tr;0,15;0,03;Tr;3,17;
278;Pescados e frutos do mar;Atum, fresco, cru;73,1;117;491;25,7;0,9;47;0;NA;1,3;6;32;Tr;253;1,3;30;307;0,09;0,4;20;20;20;Tr;0,04;Tr;5,94;
279;Pescados e frutos do mar;Bacalhau, salgado, cru;47,9;135;568;29;1,3;138;0;NA;22,5;156;49;0,03;186;0,9;13585;433;0,09;0,7;Tr;Tr;Tr;Tr;0,21;Tr;*;
280;Pescados e frutos do mar;Bacalhau, salgado, refogado;65,9;139;584;24;3,6;111;1,2;*;5,3;59;15;Tr;51;0,2;1256;50;0,04;0,6;Tr;Tr;Tr;0,03;0,05;Tr;5,17;Tr
281;Pescados e frutos do mar;Cação, posta, com farinha de trigo, frita;60,6;208;871;25;10;74;3,1;0,5;1,4;30;25;0,06;461;1;160;419;Tr;0,6;17;17;17;Tr;Tr;Tr;0,77;
282;Pescados e frutos do mar;Cação, posta, cozida;75,9;116;485;25,6;0,7;83;0;NA;1,2;10;21;Tr;203;0,3;114;248;0,03;0,6;11;11;12;Tr;0,04;Tr;9,77;
283;Pescados e frutos do mar;Cação, posta, crua;81,4;83;348;17,9;0,8;36;0;NA;1,2;8;19;0,04;181;0,2;176;299;0,13;0,3;5;5;5;0,04;Tr;Tr;1,31;
284;Pescados e frutos do mar;Camarão, Rio Grande, grande, cozido;78,7;90;376;19;1;240;0;NA;1,7;89;18;0,06;265;1,3;366;101;0,17;1,2;Tr;Tr;Tr;Tr;Tr;Tr;1,07;
285;Pescados e frutos do mar;Camarão, Rio Grande, grande, cru;89,1;47;197;10;0,5;123;0;NA;0,8;51;27;0,04;233;0,7;201;72;0,11;0,7;20;20;20;Tr;Tr;Tr;Tr;
286;Pescados e frutos do mar;Camarão, Sete Barbas, sem cabeça, com casca, frito;61;231;967;18,4;15,6;283;2,9;NA;2,1;959;73;0,38;336;2,4;99;106;0,19;1,1;Tr;Tr;Tr;0,05;Tr;Tr;0,35;
287;Pescados e frutos do mar;Caranguejo, cozido;77;82;346;18,5;0,4;84;0;NA;3,5;357;52;0,07;153;2,9;360;185;0,72;5,7;Tr;Tr;Tr;0,04;0,31;Tr;4,17;Tr
288;Pescados e frutos do mar;Corimba, cru;75,6;128;536;17,4;6;40;0;NA;1;40;22;0,02;190;0,5;47;316;0,03;0,4;Tr;Tr;Tr;Tr;Tr;Tr;1,87;
289;Pescados e frutos do mar;Corimbatá, assado;59,9;261;1093;19,9;19,6;80;0;NA;1;22;24;0,01;220;1;40;326;0,03;0,7;Tr;Tr;Tr;0,13;0,06;Tr;2,7;
290;Pescados e frutos do mar;Corimbatá, cozido;64,6;238;998;20,1;16,9;74;0;NA;0,8;64;22;0,02;185;0,6;37;253;0,05;1;Tr;Tr;Tr;Tr;Tr;Tr;2,09;
291;Pescados e frutos do mar;Corvina de água doce, crua;79,2;101;422;18,9;2,2;73;0;NA;1;39;24;0,02;153;0,3;45;293;0,02;0,4;8;8;8;Tr;0,08;Tr;*;
292;Pescados e frutos do mar;Corvina do mar, crua;79,4;94;391;18,6;1,6;67;0;NA;1,1;*;23;0,01;183;0,4;67;338;0,03;0,4;65;65;65;0,12;0,05;Tr;2,62;
293;Pescados e frutos do mar;Corvina grande, assada;69;146;613;26,8;3,6;117;0;NA;1,3;60;24;0,03;175;0,5;85;291;0,02;0,7;Tr;Tr;Tr;0,11;0,1;Tr;4,23;
294;Pescados e frutos do mar;Corvina grande, cozida;73,6;100;418;23,4;2,6;122;0;NA;0,9;69;22;0,02;163;0,6;68;194;0,03;0,7;6;6;6;Tr;0,03;Tr;0,77;
295;Pescados e frutos do mar;Dourada de água doce, fresca;76,2;131;548;18,8;5,6;51;0;NA;1,1;12;26;0,01;189;0,2;40;392;0,02;0,5;Tr;Tr;Tr;Tr;Tr;Tr;3,7;
296;Pescados e frutos do mar;Lambari, congelado, cru;71,9;130;547;16,8;6,5;158;0;NA;3,6;1181;44;0,28;696;0,9;47;244;0,09;3,3;4;4;4;0,05;Tr;Tr;3,3;
297;Pescados e frutos do mar;Lambari, congelado, frito;40,1;326;1367;28,4;22,8;246;0;NA;6,2;1881;66;0,34;1067;0,8;64;331;0,31;5,6;9;9;9;0,25;0,03;0,04;8,93;
298;Pescados e frutos do mar;Lambari, fresco, cru;72,2;151;634;15,7;9,4;144;0;NA;2,2;590;31;0,41;440;0,6;41;207;0,05;2,4;Tr;Tr;Tr;Tr;0,03;0,07;1,86;
299;Pescados e frutos do mar;Manjuba, com farinha de trigo, frita;41,3;343;1437;23,4;22,6;281;10,2;0,4;2,4;763;46;0,36;577;3;36;319;0,15;3,8;29;29;29;0,05;0,07;Tr;0,79;
300;Pescados e frutos do mar;Manjuba, frita;40,7;349;1461;30,1;24,5;270;0;NA;4,2;575;31;0,21;735;0,9;40;318;0,14;3,2;12;12;12;0,03;0,03;Tr;7,27;
301;Pescados e frutos do mar;Merluza, filé, assado;70,7;121;510;26,6;0,9;90;0;NA;1,2;35;20;0,03;273;0,4;119;363;0,03;0,9;Tr;Tr;Tr;0,05;Tr;Tr;7,97;
302;Pescados e frutos do mar;Merluza, filé, cru;82,1;89;372;16,6;2;57;0;NA;1,1;20;27;0,01;184;0,2;79;339;Tr;0,3;Tr;Tr;Tr;Tr;Tr;Tr;1,34;
303;Pescados e frutos do mar;Merluza, filé, frito;63,5;191;801;26,9;8,5;109;0;NA;1,5;35;38;0,02;278;0,4;89;446;0,03;0,6;Tr;Tr;Tr;0,05;Tr;Tr;0,77;
304;Pescados e frutos do mar;Pescada, branca, crua;79,6;110;463;16,3;4,6;50;0;NA;0,9;15;19;0,01;135;0,2;76;261;Tr;0,2;2;2;2;Tr;0,04;Tr;0,6;
305;Pescados e frutos do mar;Pescada, branca, frita;57;223;933;27,4;11,8;165;0;NA;3,2;378;30;0,06;504;0,5;107;355;0,08;1,1;39;39;39;0,08;0,11;Tr;8,07;
306;Pescados e frutos do mar;Pescada, filé, com farinha de trigo, frito;53,2;283;1185;21,4;19,1;72;5;Tr;1,2;26;28;0,07;216;0,9;90;216;0,03;0,4;17;17;17;Tr;0,03;Tr;0,6;
307;Pescados e frutos do mar;Pescada, filé, cru;79,5;107;448;16,6;4;64;0;NA;0,9;13;22;0,01;141;0,2;77;253;Tr;0,3;47;47;47;Tr;0,05;Tr;3,1;
308;Pescados e frutos do mar;Pescada, filé, frito;66,8;154;645;28,6;3,6;80;0;NA;1,7;10;21;Tr;203;0,3;114;248;0,03;0,6;4;4;4;0,14;Tr;Tr;8,87;
309;Pescados e frutos do mar;Pescada, filé, molho escabeche;74,5;141;593;11,8;8;43;5;0,8;0,7;20;18;0,08;105;1,5;51;208;0,36;0,3;19;;;Tr;0,03;Tr;1,1;6,9
310;Pescados e frutos do mar;Pescadinha, crua;80,6;76;319;15,5;1,1;83;0;NA;2;331;33;0,07;326;0,5;120;303;0,1;0,6;Tr;Tr;Tr;0,08;Tr;Tr;6,6;
311;Pescados e frutos do mar;Pintado, assado;57;191;801;36,5;4;125;0;NA;2;113;42;0,08;331;0,8;80;527;0,04;2,1;6;6;6;0,03;Tr;Tr;6,63;
312;Pescados e frutos do mar;Pintado, cru;80,3;91;381;18,6;1,3;50;0;NA;1,1;12;23;0,01;174;0,2;43;293;0,03;0,4;Tr;Tr;Tr;Tr;Tr;Tr;4,95;
313;Pescados e frutos do mar;Pintado, grelhado;65,5;152;636;30,8;2,3;99;0;NA;1,6;68;26;0,03;237;0,5;53;360;0,04;0,8;5;5;5;0,03;Tr;Tr;2,87;
314;Pescados e frutos do mar;Porquinho, cru;79,2;93;389;20,5;0,6;48;0;NA;1,3;25;24;0,05;207;0,4;66;313;0,04;0,7;4;4;4;Tr;Tr;Tr;1,19;
315;Pescados e frutos do mar;Salmão, filé, com pele, fresco,  grelhado;60,9;228;957;23,9;14;85;0;NA;1,3;28;27;0,02;299;0,5;85;383;0,04;0,6;Tr;Tr;Tr;0,13;0,06;Tr;5,35;
316;Pescados e frutos do mar;Salmão, sem pele, fresco, cru;69;169;710;19,3;9,7;53;0;NA;1,2;8;27;Tr;258;0,2;64;376;0,02;0,3;Tr;Tr;Tr;0,2;0,03;Tr;3,21;
317;Pescados e frutos do mar;Salmão, sem pele, fresco, grelhado;58,1;242;1015;26,1;14,5;72;0;NA;1,6;15;37;0,01;352;0,4;95;517;0,04;0,5;Tr;Tr;Tr;0,23;0,03;Tr;6,3;
318;Pescados e frutos do mar;Sardinha, assada;60,1;164;687;32,2;3;108;0;NA;4,4;437;51;0,24;577;1,3;74;574;0,14;1,8;Tr;Tr;Tr;0,06;Tr;Tr;5,83;
319;Pescados e frutos do mar;Sardinha, conserva em óleo;55,1;284;1192;15,9;24;72;0;NA;2,9;550;35;0,11;496;3,5;665;367;0,03;1,6;Tr;Tr;Tr;0,42;0,04;Tr;6,55;
320;Pescados e frutos do mar;Sardinha, frita;48,5;257;1075;33,4;12,7;102;0;NA;4,3;482;38;0,25;628;1,1;60;459;0,14;1,6;Tr;Tr;Tr;0,06;Tr;Tr;7,1;
321;Pescados e frutos do mar;Sardinha, inteira, crua;76,6;113;476;21,1;2,6;60;0;NA;1,6;167;28;0,1;293;1,3;60;312;0,13;1,3;Tr;Tr;Tr;Tr;0,07;Tr;7,7;
322;Pescados e frutos do mar;Tucunaré, filé, congelado, cru;79,9;87;366;18;1,2;46;0;NA;1;19;25;0,01;167;0,3;56;288;0,1;0,4;Tr;Tr;Tr;Tr;0,05;Tr;0,9;
323;Carnes e derivados;Apresuntado;73,7;128;539;13,4;6,7;37;2,9;NA;3,3;22;15;0,04;225;0,9;942;270;0,03;1,6;Tr;;;0,62;0,04;Tr;0,7;Tr
324;Carnes e derivados;Caldo de carne, tablete;2,9;240;1006;7,8;16,6;Tr;15,1;0,6;57,6;129;22;0,02;123;Tr;22179;218;Tr;Tr;Tr; ;;0,7;0,07;0,27;Tr;
325;Carnes e derivados;Caldo de galinha, tablete;3,4;251;1052;6,3;20,4;2;10,6;11,8;59,3;16;12;0,13;48;0,7;22299;68;Tr;0,3;Tr; ; ;0,05;0,04;Tr;*;
326;Carnes e derivados;Carne, bovina, acém, moído, cozido;61,6;212;888;26,7;10,9;103;0;NA;0,8;4;17;0,01;164;2,7;52;255;0,06;8,1;Tr;Tr;Tr;Tr;0,32;Tr;1,76;
327;Carnes e derivados;Carne, bovina, acém, moído, cru;72,7;136;571;19,4;5,9;57;0;NA;0,9;2;14;Tr;157;1,8;48;237;0,08;6,3;2;2;2;0,15;0,21;0,03;4,33;
328;Carnes e derivados;Carne, bovina, acém, sem gordura, cozido;60,4;214;897;27,3;10,9;106;0;NA;0,8;7;14;Tr;164;2,4;56;254;0,07;8;Tr;Tr;Tr;Tr;0,04;0,07;1,63;
329;Carnes e derivados;Carne, bovina, acém, sem gordura, cru;71,5;144;602;20,8;6,1;53;0;NA;1;4;13;Tr;144;1,5;49;233;0,04;5,2;2;2;2;0,12;0,12;Tr;2,33;
330;Carnes e derivados;Carne, bovina, almôndegas, cruas;64,3;189;791;12,3;11,2;33;9,8;*;2,4;22;23;0,17;144;1,6;621;328;0,15;2,3;Tr; ; ;0,11;0,04;Tr;2,2; 
331;Carnes e derivados;Carne, bovina, almôndegas, fritas;48,1;271;1137;18,2;15,8;36;14,3;*;3,7;26;48;0,41;244;1,9;1030;536;0,19;2,6;Tr; ; ;0,13;0,07;Tr;6,6;
332;Carnes e derivados;Carne, bovina, bucho, cozido;74,1;133;556;21,6;4,5;245;0;NA;0,3;13;7;0,01;62;0,6;38;69;0,05;2,5;Tr;Tr;Tr;Tr;Tr;Tr;2,18;
333;Carnes e derivados;Carne, bovina, bucho, cru;75;137;574;20,5;5,5;144;0;NA;0,4;9;6;0,01;61;0,5;45;84;0,06;2,1;Tr;Tr;Tr;Tr;Tr;Tr;2,13;
334;Carnes e derivados;Carne, bovina, capa de contra-filé, com gordura, crua;64,8;216;907;19,2;15;62;0;NA;0,9;5;17;0,01;144;1,5;57;266;0,06;3,5;3;3;3;0,09;0,09;0,12;1,55;
335;Carnes e derivados;Carne, bovina, capa de contra-filé, com gordura, grelhada;47,9;311;1304;30,7;20;120;0;NA;1,1;7;18;Tr;213;2,6;80;323;0,13;6,2;Tr;Tr;Tr;Tr;0,06;Tr;1,74;
336;Carnes e derivados;Carne, bovina, capa de contra-filé, sem gordura, crua;73;131;548;21,5;4,3;58;0;NA;1;6;19;Tr;178;2;79;325;0,06;4,6;Tr;Tr;Tr;Tr;0,04;Tr;1,81;
337;Carnes e derivados;Carne, bovina, capa de contra-filé, sem gordura, grelhada;53,7;239;1001;35,1;9,9;80;0;NA;1,2;8;25;0,01;287;2,8;82;384;0,12;7,6;Tr;Tr;Tr;0,03;0,08;Tr;1,86;
338;Carnes e derivados;Carne, bovina, charque, cozido;45,8;262;1099;36,4;11,9;113;0;NA;3,6;14;12;0,02;100;3,5;1442;89;0,07;6,1;Tr;Tr;Tr;0,05;0,07;Tr;1,5;
339;Carnes e derivados;Carne, bovina, charque, cru;44,5;248;1041;22,7;16,8;80;0;NA;14,5;15;13;Tr;122;1,5;5875;236;0,03;3,9;Tr;Tr;Tr;0,12;0,07;Tr;1,63;
340;Carnes e derivados;Carne, bovina, contra-filé, à milanesa;42,2;351;1471;20,6;24;99;12,2;0,4;1,1;14;27;0,27;202;2,9;77;270;0,1;2,9;15;;;0,07;0,04;Tr;3,02;
341;Carnes e derivados;Carne, bovina, contra-filé de costela, cru;66,4;202;846;19,8;13,1;52;0;NA;1;3;14;Tr;163;1,6;38;245;0,04;4,3;3;3;3;0,14;0,08;Tr;2,68;
342;Carnes e derivados;Carne, bovina, contra-filé de costela, grelhado;52,2;274;1150;29,9;16,3;97;0;NA;1,2;4;23;0,01;251;2,8;50;382;0,08;6,7;Tr;Tr;Tr;Tr;0,19;0,17;2,75;
343;Carnes e derivados;Carne, bovina, contra-filé, com gordura, cru;65,7;205;861;21,1;12,8;72;0;NA;0,9;3;18;0,01;164;1,3;44;284;0,04;2,8;3;3;3;0,11;0,08;0,03;3,79;
344;Carnes e derivados;Carne, bovina, contra-filé, com gordura, grelhado;51,7;278;1163;32,4;15,5;143;0;NA;1,2;4;18;Tr;218;2,4;57;351;0,09;4,8;Tr;Tr;Tr;Tr;0,18;0,13;4,91;
345;Carnes e derivados;Carne, bovina, contra-filé, sem gordura, cru;69,1;156;655;24;6;59;0;NA;1;4;20;Tr;183;1,7;52;334;0,05;3,2;Tr;Tr;Tr;Tr;0,2;Tr;4,64;
346;Carnes e derivados;Carne, bovina, contra-filé, sem gordura, grelhado;57,5;193;810;35,9;4,5;101;0;NA;1,3;4;21;Tr;240;2,4;57;386;0,09;5,1;Tr;Tr;Tr;Tr;0,17;0,16;4,93;
347;Carnes e derivados;Carne, bovina, costela, assada;43,2;373;1560;28,8;27,7;94;0;NA;1;28;19;Tr;179;2,2;91;270;0,08;5,5;Tr;Tr;Tr;Tr;0,08;0,35;0,56;
348;Carnes e derivados;Carne, bovina, costela, crua;52,7;357;1496;16,7;31,8;44;0;NA;0,9;*;11;Tr;129;1,2;69;151;Tr;2,7;4;4;4;0,12;0,11;Tr;5,99;
349;Carnes e derivados;Carne, bovina, coxão duro, sem gordura, cozido;58,5;216;906;31,9;8,9;71;0;NA;0,9;3;13;Tr;188;1,7;41;251;0,07;5;2;2;2;Tr;Tr;Tr;3,26;
350;Carnes e derivados;Carne, bovina, coxão duro, sem gordura, cru;69,8;147;619;21,5;6,2;59;0;NA;1,1;2;21;Tr;188;1,9;48;357;0,05;2,8;2;2;2;0,12;0,2;Tr;4,38;
351;Carnes e derivados;Carne, bovina, coxão mole, sem gordura, cozido;58;218;914;32,4;8,9;84;0;NA;1,2;3;13;Tr;182;2,6;43;238;0,11;4,7;2;2;2;Tr;Tr;Tr;4,09;
352;Carnes e derivados;Carne, bovina, coxão mole, sem gordura, cru;68,6;169;707;21,2;8,7;83;0;NA;1;2;20;Tr;175;1,9;60;334;0,05;2,6;2;2;2;0,12;0,19;Tr;2,32;
353;Carnes e derivados;Carne, bovina, cupim, assado;48,4;330;1381;28,6;23;90;0;NA;1;7;18;Tr;212;2,7;71;321;0,08;5,3;Tr;Tr;Tr;Tr;0,08;0,14;2,16;
354;Carnes e derivados;Carne, bovina, cupim, cru;64,8;221;926;19,5;15,3;50;0;NA;0,9;3;12;Tr;220;1,1;46;150;0,03;2,4;2;2;2;0,11;0,05;0,03;3,33;
355;Carnes e derivados;Carne, bovina, fígado, cru;71,3;141;590;20,7;5,4;392;1,1;NA;1,5;4;12;0,26;334;5,6;75;264;9,01;3,5;7936;7936;7936;0,14;0,9;Tr;10,66;
356;Carnes e derivados;Carne, bovina, fígado, grelhado;55;225;941;29,9;9;601;4,2;NA;2;5;9;0,22;419;5,8;82;309;12,58;4;14574;14574;14574;0,21;2,69;Tr;11,92;
357;Carnes e derivados;Carne, bovina, filé mingnon, sem gordura, cru;71,9;142;597;21,6;5,6;54;0;NA;1,1;2;21;0,01;192;1,9;48;321;0,08;2,8;3;3;3;0,12;0,1;0,04;1,78;
358;Carnes e derivados;Carne, bovina, filé mingnon, sem gordura, grelhado;57;219;919;32,8;8,8;102;0;NA;1,3;4;28;0,02;308;2,9;57;325;0,14;4,1;Tr;Tr;Tr;0,03;0,08;0,05;4,27;
359;Carnes e derivados;Carne, bovina, flanco, sem gordura, cozido;62;195;818;29,4;7,8;62;0;NA;0,9;3;13;Tr;181;2,8;41;248;0,07;5,6;1;1;1;Tr;Tr;Tr;2,32;
360;Carnes e derivados;Carne, bovina, flanco, sem gordura, cru;72,1;141;591;20;6,2;50;0;NA;1;2;17;Tr;166;1,6;54;324;0,05;4,5;2;2;2;0,11;0,16;Tr;3,28;
361;Carnes e derivados;Carne, bovina, fraldinha, com gordura, cozida;49,7;338;1416;24,2;26;64;0;NA;0,7;3;14;Tr;160;2;38;206;0,07;6,5;Tr;Tr;Tr;Tr;0,05;0,07;1,61;
362;Carnes e derivados;Carne, bovina, fraldinha, com gordura, crua;65,4;220;923;17,6;16,1;54;0;NA;0,9;3;16;0;131;1,5;51;274;0,04;4,2;4;4;4;0,08;0,07;0,03;3,56;
363;Carnes e derivados;Carne, bovina, lagarto, cozido;57,6;222;930;32,9;9,1;55;0;NA;0,9;3;12;Tr;167;1,9;47;254;0,05;7;2;2;2;Tr;Tr;Tr;2,55;
364;Carnes e derivados;Carne, bovina, lagarto, cru;71;134;564;20,5;5,2;55;0;NA;1,1;2;19;Tr;184;1,3;53;361;0,05;2,4;1;1;1;0,1;0,14;0,03;2,19;
365;Carnes e derivados;Carne, bovina, língua, cozida;53,4;314;1317;21,4;24,8;105;0;NA;0,7;5;11;0,01;136;2,1;59;175;0,08;4,1;Tr;Tr;Tr;Tr;0,08;Tr;1,83;
366;Carnes e derivados;Carne, bovina, língua, crua;65;215;900;17,1;15,8;117;0;NA;0,8;5;15;0,02;163;1,7;73;250;0,09;2,9;Tr;Tr;Tr;0,05;0,04;Tr;1,18;
367;Carnes e derivados;Carne, bovina, maminha, crua;70;152;639;20,9;7;50;0;NA;1;2;15;Tr;181;1,1;37;273;0,03;3,5;3;3;3;0,12;0,08;0,03;4,27;
368;Carnes e derivados;Carne, bovina, maminha, grelhada;65,3;153;640;30,7;2,4;87;0;NA;1,4;4;20;Tr;237;2,4;58;386;0,08;5,6;Tr;Tr;Tr;Tr;0,04;0,13;1,46;
369;Carnes e derivados;Carne, bovina, miolo de alcatra, sem gordura, cru;69,5;162;681;21,6;7,8;60;0;NA;1;3;20;0,01;165;2;43;298;0,06;3;3;3;3;0,12;0,07;Tr;3,59;
370;Carnes e derivados;Carne, bovina, miolo de alcatra, sem gordura, grelhado;52,4;241;1009;31,9;11,6;92;0;NA;1,2;4;25;0,02;279;3,2;51;385;0,11;4,8;Tr;Tr;Tr;0,03;0,05;0,05;4,66;
371;Carnes e derivados;Carne, bovina, músculo, sem gordura, cozido;62,8;193;810;31,2;6,7;56;0;NA;0,9;4;13;Tr;175;2,4;61;252;0,08;6,4;1;1;1;Tr;Tr;Tr;1,97;
372;Carnes e derivados;Carne, bovina, músculo, sem gordura, cru;72,4;141;592;21,6;5,5;50;0;NA;1;3;17;Tr;162;1,9;66;295;0,05;3,6;1;1;1;0,09;0,19;0,04;2,79;
373;Carnes e derivados;Carne, bovina, paleta, com gordura, crua;70,6;158;664;21,4;7,5;58;0;NA;0,9;4;14;Tr;157;1,8;64;249;0,08;3,6;Tr;Tr;Tr;Tr;0,04;,0,02;0,91;
374;Carnes e derivados;Carne, bovina, paleta, sem gordura, cozida;62,9;193;810;29,7;7,4;55;0;NA;0,8;5;17;Tr;197;2,2;57;249;0,1;6,8;Tr;Tr;Tr;0,03;0,04;Tr;2,16;
375;Carnes e derivados;Carne, bovina, paleta, sem gordura, crua;72,1;140;589;21;5,7;42;0;NA;1;3;17;Tr;163;1,9;65;319;0,05;3,3;3;3;3;0,13;0,21;Tr;2,67;
376;Carnes e derivados;Carne, bovina, patinho, sem gordura, cru;72,9;133;558;21,7;4,5;55;0;NA;1;3;20;0,01;170;1,8;49;317;0,05;4,5;1;1;1;0,11;0,08;Tr;3,61;
377;Carnes e derivados;Carne, bovina, patinho, sem gordura, grelhado;55,1;219;917;35,9;7,3;125;0;NA;1,3;4;27;0,02;288;3;60;420;0,12;8,1;Tr;Tr;Tr;0,04;0,03;Tr;3,01;
378;Carnes e derivados;Carne, bovina, peito, sem gordura, cozido;51,2;338;1416;22,2;27;99;0;NA;0,7;4;13;Tr;135;1,6;55;204;0,05;3,9;Tr;Tr;Tr;Tr;0,3;Tr;4,54;
379;Carnes e derivados;Carne, bovina, peito, sem gordura, cru;61,5;259;1084;17,6;20,4;59;0;NA;0,8;3;15;Tr;124;1,3;63;241;0,06;2,6;4;4;4;0,11;0,07;0,03;3,91;
380;Carnes e derivados;Carne, bovina, picanha, com gordura, crua;65,6;212;890;18,8;14,7;59;0;NA;0,9;2;14;Tr;165;1,7;37;231;0,06;3,8;3;3;3;0,13;0,16;Tr;4,77;
381;Carnes e derivados;Carne, bovina, picanha, com gordura, grelhada;53,4;288;1208;26,4;19,5;91;0;NA;1,1;4;24;Tr;246;3,2;60;355;0,14;5,5;Tr;Tr;Tr;0,03;0,06;0,13;1,6;
382;Carnes e derivados;Carne, bovina, picanha, sem gordura, crua;72,4;133;558;21,2;4,7;75;0;NA;1;3;20;Tr;183;2,1;61;322;0,08;4,2;Tr;Tr;Tr;Tr;0,05;Tr;1,89;
