Número do Alimento;Categoria;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)
38;Cereais e derivados;Lasanha, massa fresca, crua;45;220;921;7;1,3;NA;45,1;1,6;1,6;16;12;0,34;81;1,9;666;136;0,1;0,8;NA;;;0,08;Tr;Tr;Tr; 
39;Cereais e derivados;Macarrão, instantâneo;6;435;1823;8,8;17,2;NA;62,4;5,6;5,6;17;19;0,25;112;0,8;1515;147;0,1;0,5;NA;;;1,18;0,04;0,53;9,37;Tr
40;Cereais e derivados;Macarrão, trigo, cru;10,2;371;1552;10;1,3;NA;77,9;2,9;0,5;17;27;0,53;99;0,9;7;147;0,15;0,8;NA;;;0,18;0,02;Tr;3,57;Tr
41;Cereais e derivados;Macarrão, trigo, cru, com ovos;10,6;370;1550;10,3;2;17;76,6;2,3;0,5;19;Tr;0,4;118;0,9;14;134;0,14;0,8;Tr;;;0,11;0,05;0,03;4,37;Tr
42;Cereais e derivados;Milho, amido, cru;12,2;361;1511;0,6;Tr;NA;87,1;0,7;0,1;1;3;0,02;12;0,1;8;8;0,02;0,1;NA;;;Tr;Tr;Tr;Tr;Tr
43;Cereais e derivados;Milho, fubá, cru;11,5;353;1478;7,2;1,9;NA;78,9;4,7;0,6;2;41;0,34;107;0,8;Tr;168;0,08;1,1;NA;26;13;0,25;Tr;Tr;0,75;Tr
44;Cereais e derivados;Milho, verde, cru;63,5;138;578;6,6;0,6;NA;28,6;3,9;0,7;1;32;0,12;112;0,4;1;184;0,05;0,5;NA;32;16;0,3;Tr;0,04;Tr;Tr
45;Cereais e derivados;Milho, verde, enlatado, drenado;76,2;97;408;3,2;2,4;NA;17,1;4,6;1,1;2;20;0,09;61;0,6;260;162;0,05;0,5;NA;48;24;Tr;0,05;Tr;3,74;1,7
46;Cereais e derivados;Mingau tradicional, pó;8,1;373;1562;0,6;0,4;NA;89,3;0,9;1,6;522;4;Tr;273;42;14;Tr;Tr;15,2;1533;;;3,41;Tr;3,11;19,39;Tr
47;Cereais e derivados;Pamonha, barra para cozimento, pré-cozida;61,3;171;716;2,6;4,8;NA;30,7;2,4;0,6;4;15;0,12;54;0,4;131;125;0,03;0,4;NA;;;Tr;Tr;Tr;Tr;Tr
